"Amount","Currency","Cost Center","Funding Pool","GL account","Register","Date","Description"
"-98120,00","MMK","MM009","MM-COFI-11","6020 Cold chain supplies","BNK-MMK-1","29/02/2012","Test fin contract 545"
"-43130,00","MMK","MM009","MM-COFI-11","6025 Surgery material and supplies","BNK-MMK-1","30/02/2012","Test fin contract 546"
"-140540,00","MMK","MM009","MM-COFI-11","6030 Physiotherapy materials","BNK-MMK-1","1/07/2012","Test fin contract 547"
"-39810,00","MMK","MM009","MM-COFI-11","60350 Specialized Food","BNK-MMK-1","2/07/2012","Test fin contract 548"
"-54010,00","MMK","MM009","MM-COFI-11","60400 Fuel et other carburants","BNK-MMK-1","3/07/2012","Test fin contract 549"
"-52290,00","MMK","MM009","MM-COFI-11","60401 Vehicle spare parts","BNK-MMK-1","4/07/2012","Test fin contract 550"
"-18150,00","MMK","MM009","MM-COFI-11","606010 Medical equipment","BNK-MMK-1","5/07/2012","Test fin contract 551"
"-53530,00","MMK","MM009","MM-COFI-11","606011 Laboratory equipment","BNK-MMK-1","6/07/2012","Test fin contract 552"
"-119480,00","MMK","MM009","MM-COFI-11","606013 Surgery equipment","BNK-MMK-1","7/07/2012","Test fin contract 553"
"-124930,00","MMK","MM009","MM-COFI-11","606014 Office equipment","BNK-MMK-1","8/07/2012","Test fin contract 554"
"-67350,00","MMK","MM009","MM-COFI-11","606015 IT equipment","BNK-MMK-1","9/07/2012","Test fin contract 555"
"-53070,00","MMK","MM009","MM-COFI-11","606016 Telecommunication equipment","BNK-MMK-1","10/07/2012","Test fin contract 556"
"-68480,00","MMK","MM009","MM-COFI-11","606017 Watsan equipment","BNK-MMK-1","11/07/2012","Test fin contract 557"
"-136830,00","MMK","MM009","MM-COFI-11","60602 Vehicles","BNK-MMK-1","12/07/2012","Test fin contract 558"
"-1280,00","MMK","MM009","MM-COFI-11","60603 Furnitures","BNK-MMK-1","13/07/2012","Test fin contract 559"
"-13640,00","MMK","MM009","MM-COFI-11","61250 Facility rentals","BNK-MMK-1","14/07/2012","Test fin contract 560"
"-58590,00","MMK","MM009","MM-COFI-11","612510 Car and small vehicle rental","BNK-MMK-1","15/07/2012","Test fin contract 561"
"-147920,00","MMK","MM009","MM-COFI-11","612519 Other transport rental","BNK-MMK-1","16/07/2012","Test fin contract 562"
"-112390,00","MMK","MM009","MM-COFI-11","61259 Other rentals","BNK-MMK-1","17/07/2012","Test fin contract 563"
"-117990,00","MMK","MM009","MM-COFI-11","61301 Vehicle maintenance and repairs","BNK-MMK-1","18/07/2012","Test fin contract 564"
"-124340,00","MMK","MM009","MM-COFI-11","61302 Other maintenance and repairs","BNK-MMK-1","19/07/2012","Test fin contract 565"
"-3340,00","MMK","MM009","MM-COFI-11","6135 Subcontracting","BNK-MMK-1","20/07/2012","Test fin contract 566"
"-30810,00","MMK","MM009","MM-COFI-11","6140 Insurance premiums","BNK-MMK-1","21/07/2012","Test fin contract 567"
"-131280,00","MMK","MM009","MM-COFI-11","61450 Telecommunication costs","BNK-MMK-1","22/07/2012","Test fin contract 568"
"-3910,00","MMK","MM009","MM-COFI-11","6200 Staff with MSF contracts","BNK-MMK-1","23/07/2012","Test fin contract 569"
"-39340,00","MMK","MM009","MM-COFI-11","62150 Social Security and Provident Fund contributions","BNK-MMK-1","24/07/2012","Test fin contract 570"
"-33940,00","MMK","MM009","MM-COFI-11","62151 Payroll taxes","BNK-MMK-1","25/07/2012","Test fin contract 571"
"-51020,00","MMK","MM009","MM-COFI-11","62501 Expat posting tariff (HQ only)","BNK-MMK-1","26/07/2012","Test fin contract 572"
"-83050,00","MMK","MM009","MM-COFI-11","6260 Perdiem and team living expenses","BNK-MMK-1","27/07/2012","Test fin contract 573"
"-68210,00","MMK","MM009","MM-COFI-11","6265 HQ employees salaries and charges","BNK-MMK-1","28/07/2012","Test fin contract 574"
"-93790,00","MMK","MM009","MM-COFI-11","6000 Medicines","BNK-MMK-1","29/07/2012","Test fin contract 575"
"-22980,00","MMK","MM009","MM-COFI-11","6005 Medical material","BNK-MMK-1","30/07/2012","Test fin contract 576"
"-129120,00","MMK","MM009","MM-COFI-11","6010 Laboratory material and reagents","BNK-MMK-1","31/07/2012","Test fin contract 577"
"-130860,00","MMK","MM009","MM-COFI-11","60151 Vaccination supplies","BNK-MMK-1","1/07/2012","Test fin contract 578"
"-47130,00","MMK","MM009","MM-COFI-11","6020 Cold chain supplies","BNK-MMK-1","2/07/2012","Test fin contract 579"
"-99970,00","MMK","MM009","MM-COFI-11","6025 Surgery material and supplies","BNK-MMK-1","3/07/2012","Test fin contract 580"
"-21920,00","MMK","MM009","MM-COFI-11","6030 Physiotherapy materials","BNK-MMK-1","4/07/2012","Test fin contract 581"
"-11200,00","MMK","MM009","MM-COFI-11","60350 Specialized Food","BNK-MMK-1","5/07/2012","Test fin contract 582"
"-16320,00","MMK","MM009","MM-COFI-11","60400 Fuel et other carburants","BNK-MMK-1","6/07/2012","Test fin contract 583"
"-62500,00","MMK","MM009","MM-COFI-11","60401 Vehicle spare parts","BNK-MMK-1","7/07/2012","Test fin contract 584"
"-117620,00","MMK","MM009","MM-COFI-11","606010 Medical equipment","BNK-MMK-1","8/07/2012","Test fin contract 585"
"-146070,00","MMK","MM009","MM-COFI-11","606011 Laboratory equipment","BNK-MMK-1","9/07/2012","Test fin contract 586"
"-30520,00","MMK","MM009","MM-COFI-11","606013 Surgery equipment","BNK-MMK-1","10/07/2012","Test fin contract 587"
"-57420,00","MMK","MM009","MM-COFI-11","606014 Office equipment","BNK-MMK-1","11/07/2012","Test fin contract 588"
"-15620,00","MMK","MM009","MM-COFI-11","606015 IT equipment","BNK-MMK-1","12/07/2012","Test fin contract 589"
"-140370,00","MMK","MM009","MM-COFI-11","606016 Telecommunication equipment","BNK-MMK-1","13/07/2012","Test fin contract 590"
"-127010,00","MMK","MM009","MM-COFI-11","606017 Watsan equipment","BNK-MMK-1","14/07/2012","Test fin contract 591"
"-27050,00","MMK","MM009","MM-COFI-11","60602 Vehicles","BNK-MMK-1","15/07/2012","Test fin contract 592"
"-93290,00","MMK","MM009","MM-COFI-11","60603 Furnitures","BNK-MMK-1","16/07/2012","Test fin contract 593"
"-35410,00","MMK","MM009","MM-COFI-11","61250 Facility rentals","BNK-MMK-1","17/07/2012","Test fin contract 594"
"-114400,00","MMK","MM009","MM-COFI-11","612510 Car and small vehicle rental","BNK-MMK-1","18/07/2012","Test fin contract 595"
"-40720,00","MMK","MM009","MM-COFI-11","612519 Other transport rental","BNK-MMK-1","19/07/2012","Test fin contract 596"
"-19670,00","MMK","MM009","MM-COFI-11","61259 Other rentals","BNK-MMK-1","20/07/2012","Test fin contract 597"
"-89550,00","MMK","MM009","MM-COFI-11","61301 Vehicle maintenance and repairs","BNK-MMK-1","21/07/2012","Test fin contract 598"
"-97430,00","MMK","MM009","MM-COFI-11","61302 Other maintenance and repairs","BNK-MMK-1","22/07/2012","Test fin contract 599"
"-97450,00","MMK","MM009","MM-COFI-11","6135 Subcontracting","BNK-MMK-1","23/07/2012","Test fin contract 600"
"-97519,30","MMK","MM009","MM-COFI-11","6140 Insurance premiums","BNK-MMK-1","24/07/2012","Test fin contract 601"
"-118270,00","MMK","MM009","MM-COFI-11","61450 Telecommunication costs","BNK-MMK-1","25/07/2012","Test fin contract 602"
"-18370,00","MMK","MM009","MM-COFI-11","6200 Staff with MSF contracts","BNK-MMK-1","26/07/2012","Test fin contract 603"
"-18150,00","MMK","MM009","MM-COFI-11","62150 Social Security and Provident Fund contributions","BNK-MMK-1","27/07/2012","Test fin contract 604"
"-38410,00","MMK","MM009","MM-COFI-11","62151 Payroll taxes","BNK-MMK-1","28/07/2012","Test fin contract 605"
"-20328,40","MMK","MM009","MM-COFI-11","62501 Expat posting tariff (HQ only)","BNK-MMK-1","29/07/2012","Test fin contract 606"
"-17040,00","MMK","MM009","MM-COFI-11","6260 Perdiem and team living expenses","BNK-MMK-1","30/07/2012","Test fin contract 607"
"-122870,00","MMK","MM009","MM-COFI-11","6265 HQ employees salaries and charges","BNK-MMK-1","31/07/2012","Test fin contract 608"
"-128520,00","MMK","MM009","MM-COFI-11","6000 Medicines","BNK-MMK-1","1/07/2012","Test fin contract 609"
"-146220,00","MMK","MM009","MM-COFI-11","6005 Medical material","BNK-MMK-1","2/07/2012","Test fin contract 610"
"-60590,00","MMK","MM009","MM-COFI-11","6010 Laboratory material and reagents","BNK-MMK-1","3/07/2012","Test fin contract 611"
"-93570,00","MMK","MM009","MM-COFI-11","60151 Vaccination supplies","BNK-MMK-1","4/07/2012","Test fin contract 612"
"-48950,00","MMK","MM009","MM-COFI-11","6020 Cold chain supplies","BNK-MMK-1","5/07/2012","Test fin contract 613"
"-103700,00","MMK","MM009","MM-COFI-11","6025 Surgery material and supplies","BNK-MMK-1","6/07/2012","Test fin contract 614"
"-133230,00","MMK","MM009","MM-COFI-11","6030 Physiotherapy materials","BNK-MMK-1","7/07/2012","Test fin contract 615"
"-24420,00","MMK","MM009","MM-COFI-11","60350 Specialized Food","BNK-MMK-1","8/07/2012","Test fin contract 616"
"-55940,00","MMK","MM009","MM-COFI-11","60400 Fuel et other carburants","BNK-MMK-1","9/07/2012","Test fin contract 617"
"-110330,00","MMK","MM009","MM-COFI-11","60401 Vehicle spare parts","BNK-MMK-1","10/07/2012","Test fin contract 618"
"-31840,00","MMK","MM009","MM-COFI-11","606010 Medical equipment","BNK-MMK-1","11/07/2012","Test fin contract 619"
"-107100,00","MMK","MM009","MM-COFI-11","606011 Laboratory equipment","BNK-MMK-1","12/07/2012","Test fin contract 620"
"-5810,00","MMK","MM009","MM-COFI-11","606013 Surgery equipment","BNK-MMK-1","13/07/2012","Test fin contract 621"
"-51800,00","MMK","MM009","MM-COFI-11","606014 Office equipment","BNK-MMK-1","14/07/2012","Test fin contract 622"
"-77730,00","MMK","MM009","MM-COFI-11","606015 IT equipment","BNK-MMK-1","15/07/2012","Test fin contract 623"
"-36465,40","MMK","MM009","MM-COFI-11","606016 Telecommunication equipment","BNK-MMK-1","16/07/2012","Test fin contract 624"
"-56430,00","MMK","MM009","MM-COFI-11","606017 Watsan equipment","BNK-MMK-1","17/07/2012","Test fin contract 625"
"-102440,00","MMK","MM009","MM-COFI-11","60602 Vehicles","BNK-MMK-1","18/07/2012","Test fin contract 626"
"-83500,00","MMK","MM009","MM-COFI-11","60603 Furnitures","BNK-MMK-1","19/07/2012","Test fin contract 627"
"-132680,00","MMK","MM009","MM-COFI-11","61250 Facility rentals","BNK-MMK-1","20/07/2012","Test fin contract 628"
"-34480,00","MMK","MM009","MM-COFI-11","612510 Car and small vehicle rental","BNK-MMK-1","21/07/2012","Test fin contract 629"
"-5390,00","MMK","MM009","MM-COFI-11","612519 Other transport rental","BNK-MMK-1","22/07/2012","Test fin contract 630"
"-16510,00","MMK","MM009","MM-COFI-11","61259 Other rentals","BNK-MMK-1","23/07/2012","Test fin contract 631"
"-41000,00","MMK","MM009","MM-COFI-11","61301 Vehicle maintenance and repairs","BNK-MMK-1","24/07/2012","Test fin contract 632"
"-123990,00","MMK","MM009","MM-COFI-11","61302 Other maintenance and repairs","BNK-MMK-1","25/07/2012","Test fin contract 633"
"-43850,00","MMK","MM009","MM-COFI-11","6135 Subcontracting","BNK-MMK-1","26/07/2012","Test fin contract 634"
"-7700,00","MMK","MM009","MM-COFI-11","6140 Insurance premiums","BNK-MMK-1","27/07/2012","Test fin contract 635"
"-66120,00","MMK","MM009","MM-COFI-11","61450 Telecommunication costs","BNK-MMK-1","28/07/2012","Test fin contract 636"
"-142230,00","MMK","MM009","MM-COFI-11","6200 Staff with MSF contracts","BNK-MMK-1","29/07/2012","Test fin contract 637"
"-22140,00","MMK","MM009","MM-COFI-11","62150 Social Security and Provident Fund contributions","BNK-MMK-1","30/07/2012","Test fin contract 638"
"-80010,00","MMK","MM009","MM-COFI-11","62151 Payroll taxes","BNK-MMK-1","1/07/2012","Test fin contract 639"
"-65780,00","MMK","MM009","MM-COFI-11","62501 Expat posting tariff (HQ only)","BNK-MMK-1","2/07/2012","Test fin contract 640"
"-45380,00","MMK","MM009","MM-COFI-11","6260 Perdiem and team living expenses","BNK-MMK-1","3/07/2012","Test fin contract 641"
"-52440,00","MMK","MM009","MM-COFI-11","6265 HQ employees salaries and charges","BNK-MMK-1","4/07/2012","Test fin contract 642"
"-98180,00","MMK","MM009","MM-COFI-11","6000 Medicines","BNK-MMK-1","5/07/2012","Test fin contract 643"
"-13900,00","MMK","MM009","MM-COFI-11","6005 Medical material","BNK-MMK-1","6/07/2012","Test fin contract 644"
"-87660,00","MMK","MM009","MM-COFI-11","6010 Laboratory material and reagents","BNK-MMK-1","7/07/2012","Test fin contract 645"
"-103110,00","MMK","MM009","MM-COFI-11","60151 Vaccination supplies","BNK-MMK-1","8/07/2012","Test fin contract 646"
"-28400,00","MMK","MM009","MM-COFI-11","6020 Cold chain supplies","BNK-MMK-1","9/07/2012","Test fin contract 647"
"-135780,00","MMK","MM009","MM-COFI-11","6025 Surgery material and supplies","BNK-MMK-1","10/07/2012","Test fin contract 648"
"-55750,00","MMK","MM009","MM-COFI-11","6030 Physiotherapy materials","BNK-MMK-1","11/07/2012","Test fin contract 649"
"-10420,00","MMK","MM009","MM-COFI-11","60350 Specialized Food","BNK-MMK-1","12/07/2012","Test fin contract 650"
"-14730,00","MMK","MM009","MM-COFI-11","60400 Fuel et other carburants","BNK-MMK-1","13/07/2012","Test fin contract 651"
"-145640,00","MMK","MM009","MM-COFI-11","60401 Vehicle spare parts","BNK-MMK-1","14/07/2012","Test fin contract 652"
"-74010,00","MMK","MM009","MM-COFI-11","606010 Medical equipment","BNK-MMK-1","15/07/2012","Test fin contract 653"
"-89330,00","MMK","MM009","MM-COFI-11","606011 Laboratory equipment","BNK-MMK-1","16/07/2012","Test fin contract 654"
"-21250,00","MMK","MM009","MM-COFI-11","606013 Surgery equipment","BNK-MMK-1","17/07/2012","Test fin contract 655"
"-138210,00","MMK","MM009","MM-COFI-11","606014 Office equipment","BNK-MMK-1","18/07/2012","Test fin contract 656"
"-90450,00","MMK","MM009","MM-COFI-11","606015 IT equipment","BNK-MMK-1","19/07/2012","Test fin contract 657"
"-45430,00","MMK","MM009","MM-COFI-11","606016 Telecommunication equipment","BNK-MMK-1","20/07/2012","Test fin contract 658"
"-44340,00","MMK","MM009","MM-COFI-11","606017 Watsan equipment","BNK-MMK-1","21/07/2012","Test fin contract 659"
"-98160,00","MMK","MM009","MM-COFI-11","60602 Vehicles","BNK-MMK-1","22/07/2012","Test fin contract 660"
"-10210,00","MMK","MM009","MM-COFI-11","60603 Furnitures","BNK-MMK-1","23/07/2012","Test fin contract 661"
"-134640,00","MMK","MM009","MM-COFI-11","61250 Facility rentals","BNK-MMK-1","24/07/2012","Test fin contract 662"
"-57720,00","MMK","MM009","MM-COFI-11","612510 Car and small vehicle rental","BNK-MMK-1","25/07/2012","Test fin contract 663"
"-92020,00","MMK","MM009","MM-COFI-11","612519 Other transport rental","BNK-MMK-1","26/07/2012","Test fin contract 664"
"-69410,00","MMK","MM009","MM-COFI-11","61259 Other rentals","BNK-MMK-1","27/07/2012","Test fin contract 665"
"-137230,00","MMK","MM009","MM-COFI-11","61301 Vehicle maintenance and repairs","BNK-MMK-1","28/07/2012","Test fin contract 666"
"-9380,00","MMK","MM009","MM-COFI-11","61302 Other maintenance and repairs","BNK-MMK-1","29/07/2012","Test fin contract 667"
"-106730,00","MMK","MM009","MM-COFI-11","6135 Subcontracting","BNK-MMK-1","30/07/2012","Test fin contract 668"
"-73450,00","MMK","MM009","MM-COFI-11","6140 Insurance premiums","BNK-MMK-1","31/07/2012","Test fin contract 669"
"-68620,00","MMK","MM009","MM-COFI-11","61450 Telecommunication costs","BNK-MMK-1","1/07/2012","Test fin contract 670"
"-148150,00","MMK","MM009","MM-COFI-11","6200 Staff with MSF contracts","BNK-MMK-1","2/07/2012","Test fin contract 671"
"-59060,00","MMK","MM009","MM-COFI-11","62150 Social Security and Provident Fund contributions","BNK-MMK-1","3/07/2012","Test fin contract 672"
"-10820,00","MMK","MM009","MM-COFI-11","62151 Payroll taxes","BNK-MMK-1","4/07/2012","Test fin contract 673"
"-31730,00","MMK","MM009","MM-COFI-11","62501 Expat posting tariff (HQ only)","BNK-MMK-1","5/07/2012","Test fin contract 674"
"-112440,00","MMK","MM009","MM-COFI-11","6260 Perdiem and team living expenses","BNK-MMK-1","6/07/2012","Test fin contract 675"
"-93320,00","MMK","MM009","MM-COFI-11","6265 HQ employees salaries and charges","BNK-MMK-1","7/07/2012","Test fin contract 676"
"-121170,00","MMK","MM009","MM-COFI-11","6000 Medicines","BNK-MMK-1","8/07/2012","Test fin contract 677"
"-92960,00","MMK","MM009","MM-COFI-11","6005 Medical material","BNK-MMK-1","9/07/2012","Test fin contract 678"
"-104600,00","MMK","MM009","MM-COFI-11","6010 Laboratory material and reagents","BNK-MMK-1","10/07/2012","Test fin contract 679"
"-113020,00","MMK","MM009","MM-COFI-11","60151 Vaccination supplies","BNK-MMK-1","11/07/2012","Test fin contract 680"
"-50640,00","MMK","MM009","MM-COFI-11","6020 Cold chain supplies","BNK-MMK-1","12/07/2012","Test fin contract 681"
"-140160,00","MMK","MM009","MM-COFI-11","6025 Surgery material and supplies","BNK-MMK-1","13/07/2012","Test fin contract 682"
"-134310,00","MMK","MM009","MM-COFI-11","6030 Physiotherapy materials","BNK-MMK-1","14/07/2012","Test fin contract 683"
"-38580,00","MMK","MM009","MM-COFI-11","60350 Specialized Food","BNK-MMK-1","15/07/2012","Test fin contract 684"
"-10390,00","MMK","MM009","MM-COFI-11","60400 Fuel et other carburants","BNK-MMK-1","16/07/2012","Test fin contract 685"
"-130820,00","MMK","MM009","MM-COFI-11","60401 Vehicle spare parts","BNK-MMK-1","17/07/2012","Test fin contract 686"
"-52460,00","MMK","MM009","MM-COFI-11","606010 Medical equipment","BNK-MMK-1","18/07/2012","Test fin contract 687"
"-63320,00","MMK","MM009","MM-COFI-11","606011 Laboratory equipment","BNK-MMK-1","19/07/2012","Test fin contract 688"
"-38060,00","MMK","MM009","MM-COFI-11","606013 Surgery equipment","BNK-MMK-1","20/07/2012","Test fin contract 689"
"-27930,00","MMK","MM009","MM-COFI-11","606014 Office equipment","BNK-MMK-1","21/07/2012","Test fin contract 690"
"-73890,00","MMK","MM009","MM-COFI-11","606015 IT equipment","BNK-MMK-1","22/07/2012","Test fin contract 691"
"-77190,00","MMK","MM009","MM-COFI-11","606016 Telecommunication equipment","BNK-MMK-1","23/07/2012","Test fin contract 692"
"-130670,00","MMK","MM009","MM-COFI-11","606017 Watsan equipment","BNK-MMK-1","24/07/2012","Test fin contract 693"
"-97300,00","MMK","MM009","MM-COFI-11","60602 Vehicles","BNK-MMK-1","25/07/2012","Test fin contract 694"
"-50450,00","MMK","MM009","MM-COFI-11","60603 Furnitures","BNK-MMK-1","26/07/2012","Test fin contract 695"
"-123790,00","MMK","MM009","MM-COFI-11","61250 Facility rentals","BNK-MMK-1","27/07/2012","Test fin contract 696"
"-118400,00","MMK","MM009","MM-COFI-11","612510 Car and small vehicle rental","BNK-MMK-1","28/07/2012","Test fin contract 697"
"-132500,00","MMK","MM009","MM-COFI-11","612519 Other transport rental","BNK-MMK-1","29/07/2012","Test fin contract 698"
"-104040,00","MMK","MM009","MM-COFI-11","61259 Other rentals","BNK-MMK-1","30/07/2012","Test fin contract 699"
"-112970,00","MMK","MM009","MM-COFI-11","61301 Vehicle maintenance and repairs","BNK-MMK-1","1/07/2012","Test fin contract 700"
"-11180,00","MMK","MM009","MM-COFI-11","61302 Other maintenance and repairs","BNK-MMK-1","2/07/2012","Test fin contract 701"
"-81410,00","MMK","MM009","MM-COFI-11","6135 Subcontracting","BNK-MMK-1","3/07/2012","Test fin contract 702"
"-29700,00","MMK","MM009","MM-COFI-11","6140 Insurance premiums","BNK-MMK-1","4/07/2012","Test fin contract 703"
"-100610,00","MMK","MM009","MM-COFI-11","61450 Telecommunication costs","BNK-MMK-1","5/07/2012","Test fin contract 704"
"-21340,00","MMK","MM009","MM-COFI-11","6200 Staff with MSF contracts","BNK-MMK-1","6/07/2012","Test fin contract 705"
"-81140,00","MMK","MM009","MM-COFI-11","62150 Social Security and Provident Fund contributions","BNK-MMK-1","7/07/2012","Test fin contract 706"
"-45530,00","MMK","MM009","MM-COFI-11","62151 Payroll taxes","BNK-MMK-1","8/07/2012","Test fin contract 707"
"-35360,00","MMK","MM009","MM-COFI-11","62501 Expat posting tariff (HQ only)","BNK-MMK-1","9/07/2012","Test fin contract 708"
"-106670,00","MMK","MM009","MM-COFI-11","6260 Perdiem and team living expenses","BNK-MMK-1","10/07/2012","Test fin contract 709"
"-127820,00","MMK","MM009","MM-COFI-11","6265 HQ employees salaries and charges","BNK-MMK-1","11/07/2012","Test fin contract 710"
"-45030,00","MMK","MM009","MM-COFI-11","6000 Medicines","BNK-MMK-1","12/07/2012","Test fin contract 711"
"-138630,00","MMK","MM009","MM-COFI-11","6005 Medical material","BNK-MMK-1","13/07/2012","Test fin contract 712"
"-16260,00","MMK","MM009","MM-COFI-11","6010 Laboratory material and reagents","BNK-MMK-1","14/07/2012","Test fin contract 713"
"-126940,00","MMK","MM009","MM-COFI-11","60151 Vaccination supplies","BNK-MMK-1","15/07/2012","Test fin contract 714"
"-15300,00","MMK","MM009","MM-COFI-11","6020 Cold chain supplies","BNK-MMK-1","16/07/2012","Test fin contract 715"
"-111360,00","MMK","MM009","MM-COFI-11","6025 Surgery material and supplies","BNK-MMK-1","17/07/2012","Test fin contract 716"
"-2050,00","MMK","MM009","MM-COFI-11","6030 Physiotherapy materials","BNK-MMK-1","18/07/2012","Test fin contract 717"
"-61950,00","MMK","MM009","MM-COFI-11","60350 Specialized Food","BNK-MMK-1","19/07/2012","Test fin contract 718"
"-147510,00","MMK","MM009","MM-COFI-11","60400 Fuel et other carburants","BNK-MMK-1","20/07/2012","Test fin contract 719"
"-132860,00","MMK","MM009","MM-COFI-11","60401 Vehicle spare parts","BNK-MMK-1","21/07/2012","Test fin contract 720"
"-116490,00","MMK","MM009","MM-COFI-11","606010 Medical equipment","BNK-MMK-1","22/07/2012","Test fin contract 721"
"-1420,00","MMK","MM009","MM-COFI-11","606011 Laboratory equipment","BNK-MMK-1","23/07/2012","Test fin contract 722"
"-54930,00","MMK","MM009","MM-COFI-11","606013 Surgery equipment","BNK-MMK-1","24/07/2012","Test fin contract 723"
"-68310,00","MMK","MM009","MM-COFI-11","606014 Office equipment","BNK-MMK-1","25/07/2012","Test fin contract 724"
"-60110,00","MMK","MM009","MM-COFI-11","606015 IT equipment","BNK-MMK-1","26/07/2012","Test fin contract 725"
"-22820,00","MMK","MM009","MM-COFI-11","606016 Telecommunication equipment","BNK-MMK-1","27/07/2012","Test fin contract 726"
"-137220,00","MMK","MM009","MM-COFI-11","606017 Watsan equipment","BNK-MMK-1","28/07/2012","Test fin contract 727"
"-97280,00","MMK","MM009","MM-COFI-11","60602 Vehicles","BNK-MMK-1","29/07/2012","Test fin contract 728"
"-43890,00","MMK","MM009","MM-COFI-11","60603 Furnitures","BNK-MMK-1","30/07/2012","Test fin contract 729"
"-9160,00","MMK","MM009","MM-COFI-11","61250 Facility rentals","BNK-MMK-1","31/07/2012","Test fin contract 730"
"-68810,00","MMK","MM009","MM-COFI-11","612510 Car and small vehicle rental","BNK-MMK-1","1/02/2012","Test fin contract 731"
"-63030,00","MMK","MM009","MM-COFI-11","612519 Other transport rental","BNK-MMK-1","2/02/2012","Test fin contract 732"
"-62950,00","MMK","MM009","MM-COFI-11","61259 Other rentals","BNK-MMK-1","3/02/2012","Test fin contract 733"
"-90140,00","MMK","MM009","MM-COFI-11","61301 Vehicle maintenance and repairs","BNK-MMK-1","4/02/2012","Test fin contract 734"
"-114730,00","MMK","MM009","MM-COFI-11","61302 Other maintenance and repairs","BNK-MMK-1","5/02/2012","Test fin contract 735"
"-27410,00","MMK","MM009","MM-COFI-11","6135 Subcontracting","BNK-MMK-1","6/02/2012","Test fin contract 736"
"-66880,00","MMK","MM009","MM-COFI-11","6140 Insurance premiums","BNK-MMK-1","7/02/2012","Test fin contract 737"
"-5150,00","MMK","MM009","MM-COFI-11","61450 Telecommunication costs","BNK-MMK-1","8/02/2012","Test fin contract 738"
"-41900,00","MMK","MM009","MM-COFI-11","6200 Staff with MSF contracts","BNK-MMK-1","9/02/2012","Test fin contract 739"
"-19460,00","MMK","MM009","MM-COFI-11","62150 Social Security and Provident Fund contributions","BNK-MMK-1","10/02/2012","Test fin contract 740"
"-124910,00","MMK","MM009","MM-COFI-11","62151 Payroll taxes","BNK-MMK-1","11/02/2012","Test fin contract 741"
"-83350,00","MMK","MM009","MM-COFI-11","62501 Expat posting tariff (HQ only)","BNK-MMK-1","12/02/2012","Test fin contract 742"
"-7930,00","MMK","MM009","MM-COFI-11","6260 Perdiem and team living expenses","BNK-MMK-1","13/02/2012","Test fin contract 743"
"-78910,00","MMK","MM009","MM-COFI-11","6265 HQ employees salaries and charges","BNK-MMK-1","14/02/2012","Test fin contract 744"
"-134030,00","MMK","MM009","MM-COFI-11","6000 Medicines","BNK-MMK-1","15/02/2012","Test fin contract 745"
"-134000,00","MMK","MM009","MM-COFI-11","6005 Medical material","BNK-MMK-1","16/02/2012","Test fin contract 746"
"-115340,00","MMK","MM009","MM-COFI-11","6010 Laboratory material and reagents","BNK-MMK-1","17/02/2012","Test fin contract 747"
"-68470,00","MMK","MM009","MM-COFI-11","60151 Vaccination supplies","BNK-MMK-1","18/02/2012","Test fin contract 748"
"-41060,00","MMK","MM009","MM-COFI-11","6020 Cold chain supplies","BNK-MMK-1","19/02/2012","Test fin contract 749"
"-16210,00","MMK","MM009","MM-COFI-11","6025 Surgery material and supplies","BNK-MMK-1","20/02/2012","Test fin contract 750"
"-95930,00","MMK","MM009","MM-COFI-11","6030 Physiotherapy materials","BNK-MMK-1","21/02/2012","Test fin contract 751"
"-120860,00","MMK","MM009","MM-COFI-11","60350 Specialized Food","BNK-MMK-1","22/02/2012","Test fin contract 752"
"-125270,00","MMK","MM009","MM-COFI-11","60400 Fuel et other carburants","BNK-MMK-1","23/02/2012","Test fin contract 753"
"-410,00","MMK","MM009","MM-COFI-11","60401 Vehicle spare parts","BNK-MMK-1","24/02/2012","Test fin contract 754"
"-5120,00","MMK","MM009","MM-COFI-11","606010 Medical equipment","BNK-MMK-1","25/02/2012","Test fin contract 755"
"-30960,00","MMK","MM009","MM-COFI-11","606011 Laboratory equipment","BNK-MMK-1","26/02/2012","Test fin contract 756"
"-119430,00","MMK","MM009","MM-COFI-11","606013 Surgery equipment","BNK-MMK-1","27/02/2012","Test fin contract 757"
"-19000,00","MMK","MM009","MM-COFI-11","606014 Office equipment","BNK-MMK-1","28/02/2012","Test fin contract 758"
"-7220,00","MMK","MM009","MM-COFI-11","606015 IT equipment","BNK-MMK-1","29/02/2012","Test fin contract 759"
"-96050,00","MMK","MM009","MM-COFI-11","606016 Telecommunication equipment","BNK-MMK-1","30/02/2012","Test fin contract 760"
"-103570,00","MMK","MM009","MM-COFI-11","606017 Watsan equipment","BNK-MMK-1","31/02/2012","Test fin contract 761"
"-118810,00","MMK","MM009","MM-COFI-11","60602 Vehicles","BNK-MMK-1","1/02/2012","Test fin contract 762"
"-48190,00","MMK","MM009","MM-COFI-11","60603 Furnitures","BNK-MMK-1","2/02/2012","Test fin contract 763"
"-148410,00","MMK","MM009","MM-COFI-11","61250 Facility rentals","BNK-MMK-1","3/02/2012","Test fin contract 764"
"-6270,00","MMK","MM009","MM-COFI-11","612510 Car and small vehicle rental","BNK-MMK-1","4/02/2012","Test fin contract 765"
"-34266,90","MMK","MM009","MM-COFI-11","612519 Other transport rental","BNK-MMK-1","5/02/2012","Test fin contract 766"
